budget,revenue,popularity,vote_average,runtime,original_language,imdb_rating,year,month,season,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,director_is_top,actor_is_top,roi,hit
2000000.0,24500000.0,3.7035,7.7,103.0,en,7.9,1946,8,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,11.25,1
20000.0,1000000.0,2.2467,8.0,104.0,it,8.0,1945,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49.0,0
10000000.0,46720491.0,2.9843,6.941,106.0,en,7.1,2005,7,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3.6720491,1
12000000.0,1381665.0,4.9147,7.1,112.0,en,7.4,2006,9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.88486125,0
45000.0,36122.0,1.5233,6.3,83.0,en,6.6,1965,8,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.1972888888888889,0
8000000.0,105983.0,14.6756,5.9,122.0,en,5.7,2000,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.986752125,0
12500000.0,12600000.0,7.2518,7.5,121.0,en,7.9,1993,9,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.008,0
4361898.0,3031801.0,2.1999,5.9,89.0,en,6.7,2003,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.30493537446313507,0
33000000.0,62022014.0,4.8721,5.485,105.0,en,5.5,2006,8,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.8794549696969697,1
12000000.0,15250000.0,3.8931,7.1,113.0,ja,7.1,2000,12,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2708333333333333,0
3500000.0,2015810.0,2.2454,7.5,129.0,en,7.7,1991,12,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4240542857142857,0
7000000.0,3601974.0,2.1322,7.3,105.0,en,7.4,2005,9,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4854322857142857,0
2700000.0,2085166.0,1.8835,6.8,98.0,de,7.2,2004,9,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2277162962962963,0
1800000.0,57004513.0,10.4063,7.344,91.0,en,7.4,1984,11,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,30.66917388888889,1
6000000.0,29180280.0,4.4938,7.051,94.0,en,7.3,1987,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86338,1
14000000.0,5080409.0,3.3948,7.454,115.0,en,7.7,1990,9,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.6371136428571429,0
2500000.0,8750000.0,3.8719,7.267,106.0,en,7.4,1955,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2.5,0
397751.0,4360000.0,19.8707,8.6,97.0,en,9.0,1957,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.961631774652986,0
200000.0,14500000.0,6.2575,7.8,99.0,it,7.9,1964,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,71.5,0
7500000.0,33736689.0,2.6235,7.7,131.0,en,8.0,1966,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4982252,1
7000000.0,49327405.0,3.1165,7.0,114.0,en,7.3,2005,9,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.046772142857143,1
8000000.0,529766.0,4.7441,6.4,116.0,en,6.7,1995,12,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.93377925,0
2500000.0,26781723.0,3.2456,7.1,102.0,en,7.4,2004,7,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.7126892,1
10000000.0,6418028.0,3.8327,7.7,112.0,en,8.0,1999,10,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.3581972,0
2600000.0,15300000.0,6.6057,8.1,98.0,fr,8.1,1995,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.884615384615385,0
50000000.0,34808403.0,4.019,7.1,119.0,en,7.2,2004,12,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.30383194,1
2479000.0,7808900.0,7.2782,8.145,128.0,en,8.2,1958,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2.1500201694231547,0
3000000.0,4000000.0,1.8349,7.5,109.0,en,7.8,1961,12,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,0
257899.0,8969065.0,4.7,6.8,90.0,en,7.1,1998,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,33.777432250609735,0
3000000.0,12450821.0,1.1007,7.2,101.0,es,7.4,2004,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.1502736666666666,0
6000000.0,1600000.0,2.0534,6.0,96.0,en,6.4,2001,9,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7333333333333333,0
2224000.0,28000000.0,0.4339,6.3,105.0,sv,6.5,2004,10,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.589928057553957,1
8500000.0,16197824.0,2.6668,7.0,118.0,fr,7.3,2005,10,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.9056263529411764,1
3600000.0,49800000.0,3.8698,7.2,111.0,en,7.5,1995,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.833333333333334,1
